Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
16:45:15  49.0   0.0   9.2  41.8   0.0    4   1682    462   2.29 
16:45:15   0.0   0.0   0.0  99.8   0.2    1   1744    618   0.95 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
16:45:16   2.1   0.0   2.1  95.8   0.0    1    468    206   0.69 
16:45:16   2.1   0.0  12.8  85.1   0.0    1    662    264   0.60 
16:45:17   2.1   0.0   4.2  93.8   0.0    1    384    166   0.62 
16:45:17  72.2   0.0  27.8   0.0   0.0    9   7254   1902   2.83 
16:45:18   0.0   0.0   0.0 100.0   0.0    2   1470    834   1.83 
16:45:18   0.0   0.0   0.0  99.9   0.0    3   1232    468   1.78 
16:45:19   0.0   0.0   0.0  99.8   0.2    1   1914    600   0.66 
16:45:19   2.0   0.0  10.2  87.8   0.0    1    558    246   0.61 
16:45:20   2.0   0.0   8.0  90.0   0.0    1    398    184   0.54 
16:45:20  21.2   0.0  17.3  61.5   0.0    1    932    364   0.83 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
16:45:21  67.3   0.0  32.7   0.0   0.0    6   6110   1436   2.77 
16:45:21   0.0   0.0   0.0 100.0   0.0    2   2140   1112   1.61 
16:45:22  51.0   0.0   2.0  46.9   0.0    2    520    324   1.76 
16:45:22   0.0   0.0   0.0  99.7   0.2    1   3006    834   1.10 
16:45:23   2.0   0.0   6.0  92.0   0.0    1    436    192   0.69 
16:45:23   2.0   0.0  10.0  84.0   4.0    1    544    240   0.62 
16:45:24   3.9   0.0   7.8  88.2   0.0    1    432    174   0.61 
16:45:24  63.0   0.0  37.0   0.0   0.0    6   4498    692   2.87 
16:45:25   0.0   0.0   0.0 100.0   0.0    2   3882   1822   1.63 
16:45:25  49.0   0.0   4.0  47.0   0.0    2    662    538   1.66 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
16:45:26   0.0   0.0   0.0  99.7   0.2    1   2664    648   0.75 
16:45:26   0.0   0.0   8.5  91.5   0.0    1    542    242   1.10 
16:45:27   2.0   0.0   6.1  91.8   0.0    1    412    178   0.75 
16:45:27   1.9   0.0  11.5  86.5   0.0    1    456    188   0.64 
16:45:28  73.5   0.0  26.5   0.0   0.0    6   2996    322   2.67 
16:45:28   0.0   0.0   0.0  99.9   0.0    2   4794   1856   1.93 
Device is not discharging, cannot measure power usage.
